Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-01-02,100.64%,-5.99%,14.77%,54%,0.16044997039668,211680,0.32707397427889,1132298,30.66,182412,29268,853229,279069
2024-12-31,106.63%,-6.21%,16.71%,59%,0.10455912797813,193141,0.32590294061993,1107121,31.34,174858,18283,834994,272127
2024-12-30,112.85%,-3.17%,18.73%,65%,0.1776344867254,194504,0.33111482570241,1039208,32.01,165165,29339,780705,258503
2024-12-27,116.02%,+3.14%,19.75%,66%,0.22713772396938,303265,0.31446213211073,1173189,32.2,247132,56133,892524,280665
2024-12-26,112.88%,+6.34%,18.74%,66%,0.18655924848749,381461,0.31589832185177,1101399,32.99,321485,59976,836994,264405
2024-12-24,106.54%,-1.86%,16.68%,60%,0.11831710577845,165625,0.31116388693978,1093137,31.14,148102,17523,833715,259422
2024-12-23,108.39%,+3.44%,17.28%,63%,0.15225349358581,253384,0.33280415374846,999054,30.9,219903,33481,749588,249466
2024-12-20,104.95%,+1.02%,16.17%,60%,0.22531603168501,321904,0.34294859306491,1171865,29.82,262711,59193,872606,299259
2024-12-19,103.93%,+1.36%,15.84%,59%,0.16396427117824,211625,0.34173138257362,1153944,29,181814,29811,860041,293903
2024-12-18,102.57%,-19.16%,15.40%,59%,0.19484150857065,282028,0.34059886456726,1125910,28.55,236038,45990,839856,286054
2024-12-17,121.73%,+11.85%,21.60%,72%,0.12734341907785,431157,0.33965677640457,1092963,31.26,382454,48703,815853,277110
2024-12-16,109.88%,+20.68%,17.76%,65%,0.13357102133571,282334,0.37793883056171,970040,29.44,249066,33268,703979,266061
2024-12-13,89.20%,-2.77%,11.07%,50%,0.26539375265267,229569,0.38346154782482,1136569,27.99,181421,48148,821540,315029
2024-12-12,91.96%,-3.78%,11.96%,51%,0.26656131716031,202779,0.40015311725393,1115607,28.75,160102,42677,796775,318832
2024-12-11,95.74%,-6.35%,13.19%,54%,0.30582278973043,403131,0.42063657947061,1060312,28.97,308718,94413,746364,313948
2024-12-10,102.09%,-4.99%,15.24%,59%,0.62260206747989,254596,0.39332322383886,988652,26.93,156906,97690,709564,279088
2024-12-09,107.08%,-13.19%,16.86%,63%,0.3060371099024,169282,0.38895445862778,943814,27.93,129615,39667,679514,264300
2024-12-06,120.27%,+3.08%,21.13%,71%,0.21834824414561,329696,0.37157815252957,1089856,29.06,270609,59087,794600,295256
2024-12-05,117.18%,+16.59%,20.13%,67%,0.18373856778825,586707,0.3924322652849,981655,28.63,495639,91068,704993,276662
2024-12-04,100.59%,+3.96%,14.76%,59%,0.21617873339812,120139,0.39070595574347,963075,27.03,98784,21355,692508,270567
2024-12-03,96.63%,-5.88%,13.47%,56%,0.19273852250311,137252,0.39795113324779,939124,27.44,115073,22179,671786,267338
2024-12-02,102.51%,-8.33%,15.38%,59%,0.22485435966001,256509,0.40471519048015,879200,27.27,209420,47089,625892,253308
2024-11-29,110.84%,-11.19%,18.08%,64%,0.23430085449697,289762,0.38373043665831,1039212,29.05,234758,55004,751022,288190
2024-11-27,122.03%,-5.28%,21.70%,70%,0.21942868368984,260698,0.37394518995752,1011269,30.89,213787,46911,736033,275236
2024-11-26,127.31%,-3.38%,23.41%,72%,0.20231626692163,412457,0.36913146301076,950028,30.33,343052,69405,693891,256137
2024-11-25,130.69%,+8.92%,24.51%,77%,0.14078008629651,240327,0.38633124000878,896704,29.67,210669,29658,646818,249886
2024-11-22,121.78%,+1.22%,21.62%,71%,0.1624631570235,252809,0.37144508437443,1020362,27.9,217477,35332,744005,276357
2024-11-21,120.56%,-7.62%,21.22%,71%,0.15743429668856,223592,0.37524854131363,992532,27.82,193179,30413,721711,270821
2024-11-20,128.17%,+6.71%,23.69%,73%,0.15061426047856,401233,0.38011135697853,943647,28.45,348712,52521,683747,259900
2024-11-19,121.46%,+1.56%,21.52%,71%,0.22173574041864,183330,0.38859328743177,907143,27.57,150057,33273,653282,253861
2024-11-18,119.90%,-32.79%,21.01%,71%,0.22109783661608,189087,0.3922065096852,859959,26.44,154850,34237,617695,242264
2024-11-15,152.69%,+7.19%,31.63%,87%,0.19751264617539,365991,0.36815752344377,1053090,26.59,305626,60365,769714,283376
2024-11-14,145.50%,+0.63%,29.30%,86%,0.1406647955613,316190,0.37349134787238,1007482,27.37,277198,38992,733519,273963
2024-11-13,144.87%,+3.15%,29.10%,85%,0.10736592756562,328169,0.37384147427438,979663,26.46,296351,31818,713083,266580
2024-11-12,141.73%,+5.65%,28.08%,85%,0.13809663465063,341495,0.37523670922882,931749,26.84,300058,41437,677519,254230
2024-11-11,136.08%,+29.14%,26.25%,82%,0.18376929990157,497891,0.37003043615351,838597,27.26,420598,77293,612101,226496
"Downloaded from Barchart.com as of 02-15-2025 05:03pm CST"
